name,price,category,has_active_sale
Mushroom - Chanterelle Frozen #(3547780027098301),$75.22,food,TRUE
Apple - Delicious Golden #(3580069913557366),$128.21,food,TRUE
Paper - Brown Paper Mini Cups #(36740427954697),$84.11,other,FALSE
Oven Mitt - 13 Inch #(3544630388041403),$173.26,electronics,TRUE
Bandage - Fexible 1x3 #(3553145069710778),$44.14,other,FALSE
Kaffir Lime Leaves #(3566691100894043),$79.10,books,TRUE
Fond - Neutral #(5602239299309963253),$108.76,electronics,TRUE
Lamb - Shanks #(),$26.88,books,TRUE
Spoon - Soup Plastic #(374288104478697),$23.30,clothing,TRUE
Peas - Frozen #(6759229150157225),$20.74,other,FALSE
Chocolate Bar - Oh Henry #(⁰⁴⁵₀₁₂),$160.39,books,FALSE
Pepper - Black Ground #(490592987047507467),$122.93,electronics,FALSE
Plums - Red #(3535368879764909),$114.41,electronics,FALSE
Truffle Shells - Semi - Sweet #(6761024330322165501),$63.18,books,TRUE
Bar Nature Valley #(3556288378017894),$12.00,books,TRUE
Wine - Mas Chicet Rose Vintage #(3535028024767906),$34.37,electronics,FALSE
Veal - Leg Provimi - 50 Lb Max #(),$169.50,clothing,FALSE
Water - Green Tea Refresher #(4041598947771784),$177.19,other,TRUE
Hummus - Spread #(4911042244390243),$24.10,food,TRUE
Ezy Change Mophandle #(3536628082193686),$55.59,other,FALSE
Banana - Leaves #(30573021217427),$174.40,books,FALSE
Milk - Homo #(3580055653395414),$51.11,clothing,FALSE
Mackerel Whole Fresh #(50384579792099602),$33.93,electronics,TRUE
Beer - Pilsner Urquell #(),$6.47,food,TRUE
Wine - Lou Black Shiraz #(6395287628973698),$123.79,food,FALSE
Cherries - Fresh #(4185111441338),$27.80,clothing,FALSE
Appetizer - Seafood Assortment #(0604583600344324),$87.42,electronics,TRUE
Sugar - Palm #(67618319342455109),$85.67,food,TRUE
Ginger - Fresh #(4017957422702690),$71.68,electronics,TRUE
Turnip - Mini #(3587997518229127),$114.82,books,FALSE
Oil - Olive Bertolli #(50202209844771004),$122.90,food,FALSE
Pate - Liver #(3548689677891155),$34.13,clothing,FALSE
Bread Base - Toscano #(),$156.99,electronics,FALSE
Cake - Lemon Chiffon #(),$97.02,electronics,TRUE
Nantucket Apple Juice #(3582916495953843),$2.56,clothing,FALSE
Bread - Bistro White #(6334177978558377),$160.81,food,FALSE
Plastic Arrow Stir Stick #(3543998180910252),$194.69,clothing,FALSE
Juice - Orange #(30478790679635),$1.97,books,FALSE
Muffin Batt - Choc Chk #(5602256940098832),$153.40,books,TRUE
Chocolate - Liqueur Cups With Foil #(6304409061489525),$174.96,clothing,FALSE
Cheese - Pied De Vents #(),$108.10,food,FALSE
Kale - Red #(3566923651508528),$108.80,other,FALSE
White Baguette #(5595301997467081),$66.14,other,FALSE
Coconut - Shredded Sweet #(3569873100661765),$142.52,electronics,TRUE
Chutney Sauce - Mango #(3556614015903263),$104.42,electronics,TRUE
Curry Paste - Madras #(4041379612799),$37.08,other,TRUE
Salmon - Atlantic Fresh Whole #(3546874966767074),$113.33,clothing,FALSE
Mousse - Mango #((╯°□°）╯︵ ┻━┻)  ),$67.20,electronics,FALSE
Veal - Insides Grains #(201900262212754),$69.44,food,FALSE
Pork - Bacon Sliced #(3588068246931852),$110.34,books,TRUE
Nut - Pistachio Shelled #(5020745804509227),$51.62,other,FALSE
Nut - Cashews Raw #(4844186744782805),$96.84,electronics,FALSE
Sprite Diet - 355ml #(4903719830503257845),$189.12,books,FALSE
Oven Mitt - 13 Inch #(),$70.51,electronics,FALSE
Beef - Diced #(¡™£¢∞§¶•ªº–≠),$193.10,electronics,FALSE
Mushroom - Chanterelle Frozen #(3547780027098301),$75.22,books,FALSE
Apple - Delicious Golden #(3580069913557366),$128.21,clothing,FALSE
Paper - Brown Paper Mini Cups #(36740427954697),$84.11,food,TRUE
Oven Mitt - 13 Inch #(3544630388041403),$173.26,clothing,TRUE
Bandage - Fexible 1x3 #(3553145069710778),$44.14,other,TRUE
Kaffir Lime Leaves #(3566691100894043),$79.10,food,TRUE
Fond - Neutral #(5602239299309963253),$108.76,clothing,FALSE
Lamb - Shanks #(),$26.88,books,TRUE
Spoon - Soup Plastic #(374288104478697),$23.30,electronics,FALSE
Nori Sea Weed - Gold Label #(3562782865224767),$172.74,electronics,TRUE
Pepper - Chipotle Canned #(),$18.67,clothing,TRUE
Salt - Celery #(3531633985167329),$74.06,food,FALSE
Plaintain #(349981865990544),$73.56,electronics,FALSE
Cilantro / Coriander - Fresh #(3568590082583285),$184.50,electronics,FALSE
Puree - Mango #(3582704336241713),$100.97,clothing,FALSE
Cheese - Shred Cheddar / Mozza #(3565096663325313),$180.79,clothing,TRUE
Veal - Leg Provimi - 50 Lb Max #(201694762527304),$144.38,books,TRUE
Cod - Black Whole Fillet #(5599719928325589),$138.14,other,TRUE
Veal - Brisket Provimi bnls #(346520897125860),$32.28,clothing,FALSE
Cardamon Ground #(6379953531764702),$181.74,clothing,TRUE
Beef - Top Sirloin - Aaa #(),$169.54,food,FALSE
Pop - Club Soda Can #(676722634470755471),$75.30,other,FALSE
Broom - Angled #(5231862650077624),$116.58,food,FALSE
Pasta - Canelloni Single Serve #(3530042453176674),$109.82,other,FALSE
Spring Roll Wrappers #(372301927497307),$24.20,books,TRUE
Soup - Campbells Beef Noodle #(677129680989826698),$145.38,electronics,TRUE
Glycerine #(5602219271390103),$119.29,electronics,TRUE
Shrimp - Baby Cold Water #(₀₁₂),$149.64,electronics,TRUE
Temperature Recording Station #(5602255953776912),$27.84,clothing,FALSE
Bread - Pain Au Liat X12 #(3568470640872761),$145.41,other,TRUE
Tequila Rose Cream Liquor #(3569676520923172),$191.52,other,TRUE
Yukon Jack #(6706722042658636),$101.85,other,FALSE
Wild Boar - Tenderloin #(-1E02),$106.66,other,TRUE
Tomatoes Tear Drop Yellow #(3535592854254137),$169.95,books,TRUE
Soup - Base Broth Chix #(5602238180540657),$149.04,books,TRUE
Sugar Thermometer #(501811570978546875),$91.34,food,FALSE
Ecolab - Ster Bac #(5602241084717397),$161.86,electronics,FALSE
Muffin Mix - Morning Glory #(4917312655515610),$53.26,food,TRUE
Lamb - Ground #(3541213365678134),$0.71,other,TRUE
Cookie Trail Mix #(56022231941817485),$9.08,books,TRUE
Bar - Sweet And Salty Chocolate #(4175009874084025),$13.54,other,FALSE
"Juice - Propel Sport #(""''''""'"")",$47.30,clothing,FALSE
Wine - Soave Folonari #(3563852204014176),$122.13,other,TRUE
Butcher Twine 4r #(5010121635695308),$15.42,food,TRUE
Beef - Kobe Striploin #(5048370414567362),$78.11,other,TRUE
Juice - Orangina #(30422695233882),$91.40,food,TRUE
Milk 2% 500 Ml #(3555501475860169),$156.98,books,TRUE
Langers - Cranberry Cocktail #(5020370792195382046),$32.54,other,FALSE
Sour Cream #(4405910357905549),$88.33,food,FALSE
Pail - 4l White With Handle #(3529783687881893),$0.65,books,FALSE
Beer - Maudite #(4844043632626539),$12.06,electronics,TRUE
Vermouth - White Cinzano #(3538522324349891),$191.87,electronics,TRUE
Trout - Rainbow Frozen #(67610692805765893),$94.67,other,FALSE
Sugar Thermometer #(201536221857899),$13.44,books,TRUE
Filter - Coffee #(3529463838962146),$166.41,other,TRUE
Beer - Heinekin #(201799785049259),$149.45,other,FALSE
Wine - Magnotta - Bel Paese White #(3579366406370676),$67.75,books,FALSE
Durian Fruit #(5341669375112835),$35.78,other,TRUE
Tortillas - Flour 10 #(3554267896445664),$156.10,other,FALSE
Grand Marnier #(6382774967471322),$104.07,food,FALSE
Sausage - Andouille #(),$33.61,electronics,TRUE
Ham - Proscuitto #(3570573903045490),$92.12,books,FALSE
Lobster - Live #(3542069298527254),$156.95,clothing,FALSE
Cornstarch #(3536060412436629),$50.77,books,FALSE
Vodka - Lemon Absolut #(5018952792691270919),$91.13,books,TRUE
Honey - Comb #(201585053617202),$60.15,other,TRUE
Stock - Veal Brown #(675927692671302738),$8.86,books,FALSE
Cucumber - English #(¸˛Ç◊ı˜Â¯˘¿),$67.00,books,FALSE
Wine - Fat Bastard Merlot #(3535462145207288),$154.14,books,FALSE
Yeast - Fresh Fleischman #(),$104.76,other,TRUE
Cheese - Parmigiano Reggiano #(201967283912092),$140.00,clothing,FALSE
Bacardi Mojito #(﻿),$10.71,electronics,TRUE
Bagel - Whole White Sesame #(5602259028299751),$25.14,clothing,FALSE
Pasta - Bauletti Chicken White #(3530203798552686),$43.74,other,FALSE
Dome Lid Clear P92008h #(5602227834991978),$159.82,clothing,TRUE
Vodka - Hot Lnferno #(3532397223871725),$141.85,food,FALSE
Flavouring - Raspberry #(3565480373360564),$14.02,clothing,TRUE
Pectin #(6304524816626492),$48.59,books,FALSE
Artichoke - Fresh #(3532413238812461),$0.84,books,FALSE
Turnip - Wax #(3558481955855921),$141.43,books,TRUE
Wine - Cousino Macul Antiguas #(3544359327485915),$133.69,books,TRUE
Potatoes - Idaho 80 Count #(5602249846478372),$133.57,food,TRUE
Wine - Tio Pepe Sherry Fino #(5100170646924653),$110.13,food,TRUE
Pepsi 355 Ml #(6334729591838543),$187.04,clothing,TRUE
Lotus Rootlets - Canned #(3536785379903589),$139.92,clothing,TRUE
Olives - Stuffed #(5602248945027130),$180.36,clothing,TRUE
Arrowroot #(3556117016758280),$151.29,electronics,FALSE
Mangoes #(),$124.43,clothing,FALSE
Tilapia - Fillets #(3553896241373857),$113.59,clothing,TRUE
Pork - Loin Bone - In #(374283595607714),$102.45,food,FALSE
Asparagus - White Canned #(4905464952861124),$135.26,books,FALSE
Pernod #(5602253498344064),$28.48,other,FALSE
Bagel - Whole White Sesame #(5602220160749771),$133.96,other,TRUE
Containter - 3oz Microwave Rect. #(),$164.91,clothing,FALSE
Doilies - 7 Paper #(⁦test⁧),$120.78,books,TRUE
Veal - Shank Pieces #(3535281600094241),$106.09,clothing,TRUE
Sauce - Hp #(3572143017395302),$150.07,other,FALSE
Catfish - Fillets #(3540190251484598),$22.06,clothing,FALSE
Cake Circle Foil Scallop #(5602229199767910),$100.04,clothing,TRUE
Cauliflower #(493618812402790066),$62.75,books,FALSE
Cheese - Blue #(4175007174270195),$176.45,books,FALSE
Soup - Campbells Chicken #(3556800420047891),$25.89,other,TRUE
Chocolate - Pistoles Lactee Milk #(3574760695461912),$143.44,electronics,TRUE
"Apple - Delicious Golden #(/dev/null, touch /tmp/blns.fail , echo)",$87.64,clothing,TRUE
Salt - Seasoned #(5222140977354807),$37.26,food,FALSE
Flower - Commercial Bronze #(564182327494432414),$171.85,clothing,FALSE
Wine - Balbach Riverside #(3583601286839489),$127.73,books,FALSE
Milk - 2% #(3579708670816068),$68.70,other,TRUE
Soup - Knorr Chicken Gumbo #(3561807082668701),$175.66,clothing,TRUE
Bar Special K #(),$6.97,other,FALSE
Muffin Hinge Container 6 #(3528156969723649),$71.35,clothing,TRUE
Island Oasis - Raspberry #(201889846255985),$157.57,books,TRUE
Pail For Lid 1537 #(4041378172222492),$173.65,books,TRUE
Pepper - Sorrano #(3558326212773781),$16.68,other,FALSE
Wine - Stoneliegh Sauvignon #(｀ｨ(´∀｀∩),$129.36,books,TRUE
Sugar - Invert #(3576059642343416),$155.68,electronics,TRUE
Nut - Cashews Whole Raw #(4041371760277796),$9.45,electronics,TRUE
Cookies - Englishbay Oatmeal #(3569994714384170),$139.71,food,FALSE
Pepper - Orange #(5010120725069762),$113.95,other,FALSE
Beans - Navy Dry #(50383480212369694),$194.53,clothing,FALSE
Wine - Two Oceans Cabernet #(),$29.66,other,TRUE
Peas - Frozen #(6759229150157225),$20.74,books,FALSE
Chocolate Bar - Oh Henry #(⁰⁴⁵₀₁₂),$160.39,other,TRUE
Pepper - Black Ground #(490592987047507467),$122.93,other,TRUE
Plums - Red #(3535368879764909),$114.41,food,TRUE
Truffle Shells - Semi - Sweet #(6761024330322165501),$63.18,other,FALSE
Bar Nature Valley #(3556288378017894),$12.00,books,TRUE
Gaming Laptop,1299.99,electronics,true
Running Shoes,89.99,clothing,false
Fresh Apples,4.99,food,true
Programming Book,49.99,books,false
Smart Watch,199.99,electronics,true
T-Shirt,19.99,clothing,true
Chocolate Bar,2.99,food,false
Mystery Novel,14.99,books,true
Wireless Earbuds,129.99,electronics,false
Jeans,59.99,clothing,true
